simplified_name	titulo	autor	nivel_educativo	materia	tipo	idioma	ilustraciones	genero	pagina	tamano	deposito_legal	isbn	edad	ficha_didactica
el_cascabel_del_gato_y_otros_cuentos	El cascabel del gato y otros cuentos	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	90.0	14 x 21 cm			TODO_PUBLICO	YES
el_desorden_de_los_juguetes	El desorden de los juguetes	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis A.	CUENTOS_INFANTILES	100.0	14 x 21 cm	8-1-2421-2023	978-9917-0-2751-5	TODO_PUBLICO	YES
el_hogar_de_los_pajaros_y_otros_cuentos_infantiles	El hogar de los pájaros y otros cuentos infantiles	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luna Estudio	CUENTOS_INFANTILES	120.0	14 x 20 cm			TODO_PUBLICO	YES
el_hombre_que_golpeaba_con_la_mandibula	El hombre que golpeaba con la mandíbula	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Juanita Golondrina	CUENTOS_JUVENILES	136.0	15 x 21 cm	8-1-2611-19	978-99974-0-999-7	TODO_PUBLICO	YES
el_invento_contra_el_hipo	El invento contra el hipo	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	CUENTO_INFANTIL	54.0	15 x 21 cm	8-1-2823-15	978-99974-53-28-0	TODO_PUBLICO	YES
el_nombre_del_caballo	El nombre del caballo	Álvaro Secondo Escandell	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Gustavo Adrián Desimone	NOVELA_JUVENIL	130.0	15 x 21 cm	8-1-1921-19	978-99974-0-877-8	TODO_PUBLICO	YES
el_sindrome_de_heraclito	El síndrome de Heráclito	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_JUVENILES	118.0	14 x 20 cm			TODO_PUBLICO	YES
el_zurdo_de_oro	El Zurdo de Oro	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	110.0	15 x 21 cm	8-1-2141-15	978-99974-50-25-8	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
ellos_no_saben_que	Ellos no saben qué...	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	120.0		8-1-2419-2023	978-9917-0-2756-0	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
encontre_un_lapiz_y_dibuje_mi_mundo	Encontré un lápiz y dibujé mi mundo	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Yanine Senzano Cuéllar	NOVELA_INFANTIL_JUVENIL	120.0	15 x 21 cm	8-1-4218-16	978-99974-63-41-8	TODO_PUBLICO	YES
ese_hombre_que_no_era_yo	Ese hombre que no era yo	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	200.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
fabulas_i	Fábulas I	Raúl Otero Reiche	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	FABULA	88.0	15 x 21 cm	8-1-2142-15	978-99974-50-26-5	TODO_PUBLICO	YES
fabulas_ii	Fábulas II	Raúl Otero Reiche	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	FABULA	86.0	15 x 21 cm	8-1-2142-15	978-99974-50-26-5	TODO_PUBLICO	YES
flores_para_deshojar	Flores para deshojar	Raúl Otero Reiche	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Ivonne Vásquez	POESIA_INFANTIL	78.0	15 x 21 cm	8-1-919-16	978-99974-58-58-2	TODO_PUBLICO	YES
hijos_de_la_isla	Hijos de la isla	Laura Moreno	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	170.0		8-1-2420-2023	978-9917-0-2754-6	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
how_not_to_make_friends_and_other_lessons_i_didnt_ask_for	How not to make friends and other lessons I didn’t ask for	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	INGLES		NOVELA_INFANTIL_JUVENIL	97.0	14 x 20 cm			TODO_PUBLICO	YES
la_casa_del_crimen	La casa del crimen	Alicia Barberis	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Allmuro	NOVELA_INFANTIL_JUVENIL	134.0	15 x 21 cm	8-1-1924-19	978-99974-0-851-8	TODO_PUBLICO	YES
la_casa_encantada	La casa encantada	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Yanine Senzano Cuéllar	CUENTO_INFANTIL	78.0	15 x 21 cm	8-1-2823-15	978-99974-53-28-0	TODO_PUBLICO	YES
la_chica_que_se_creia_de_otro_planeta	La chica que se creía de otro planeta	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	110.0	15 x 21 cm	8-1-2143-15	978-99974-50-24-1	A_PARTIR_DE_12_ANOS_DE_EDAD	YES
la_tregua_incomoda	La tregua incómoda	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		CUENTOS_JUVENILES	116.0	15 x 21 cm	8-1-2613-19	978-99974-0-997-3	TODO_PUBLICO	YES
la_venganza_del_ogro	La venganza del ogro	Alicia Barberis	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernández	NOVELA_INFANTIL	116.0	15 x 21 cm	8-1-2065-18	978-99974-0-240-0	TODO_PUBLICO	YES
lo_bonito_de_ser_feos	Lo bonito de ser feos	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	153.0	15 x 21 cm	8-1-2282-13	978-99954-2-875-4	TODO_PUBLICO	YES
lo_bonito_de_ser_feos_el_inicio	Lo bonito de ser feos. El inicio…	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	117.0	15 x 21 cm	8-1-1901-14	978-99974-4421-9	TODO_PUBLICO	YES
los_acertijos_de_glenda	Los acertijos de Glenda	Roger Otero Lorent	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	149.0	15 x 21 cm	8-1-2281-13	978-99954-2-876-1	TODO_PUBLICO	YES
los_hilos_que_nunca_vimos	Los hilos que nunca vimos	Jorge Arancibia	SECUNDARIA	LITERATURA	OBRA_LITERARIA	ESPANOL		NOVELA_JUVENIL	154.0	14 x 20 cm			TODO_PUBLICO	YES
maria_quiere_volar	María quiere volar	Roger Otero Lorent	PRIMARIA	LITERATURA	OBRA_LITERARIA	ESPANOL	Luis M. Fernandez M.	CUENTO_INFANTIL	38.0	15 x 21 cm	8-1-1819-17	978-99974-73-34-9	TODO_PUBLICO	YES
