simplified_name	titulo	autor	nivel_educativo	materia	tipo	idioma	ilustraciones	genero	pagina	tamano	deposito_legal	isbn	edad	ficha_didactica
educacion_musical-6-primaria	Educación Musical 6 Primaria	Varios	PRIMARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-1-secundaria	Educación Musical 1 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-2-secundaria	Educación Musical 2 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-3-secundaria	Educación Musical 3 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-4-secundaria	Educación Musical 4 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-5-secundaria	Educación Musical 5 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
educacion_musical-6-secundaria	Educación Musical 6 Secundaria	Varios	SECUNDARIA	MUSICA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_psicologia_y_filosofia-1-secundaria	Cosmovisiones, Psicología Y Filosofía 1 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_psicologia_y_filosofia-2-secundaria	Cosmovisiones, Psicología Y Filosofía 2 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_filosofia_y_psicologia-3-secundaria	Cosmovisiones, Filosofía Y Psicología 3 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_filosofia_y_psicologia-4-secundaria	Cosmovisiones, Filosofía Y Psicología 4 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_filosofia_y_psicologia-5-secundaria	Cosmovisiones, Filosofía Y Psicología 5 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
cosmovisiones_filosofia_y_psicologia-6-secundaria	Cosmovisiones, Filosofía Y Psicología 6 Secundaria	Varios	SECUNDARIA	PSICOLOGIA	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-1-primaria	Mi Libro de valores 1 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-2-primaria	Mi Libro de valores 2 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-3-primaria	Mi Libro de valores 3 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-4-primaria	Mi Libro de valores 4 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-5-primaria	Mi Libro de valores 5 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-6-primaria	Mi Libro de valores 6 Primaria	Varios	PRIMARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-1-secundaria	Mi Libro de valores 1 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-2-secundaria	Mi Libro de valores 2 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-3-secundaria	Mi Libro de valores 3 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-4-secundaria	Mi Libro de valores 4 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-5-secundaria	Mi Libro de valores 5 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
mi_libro_de_valores-6-secundaria	Mi Libro de valores 6 Secundaria	Varios	SECUNDARIA	VALORES	TEXTO_EDUCATIVO	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-1	El Arte de pensar y no aplazarse en el intento 1	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-2	El Arte de pensar y no aplazarse en el intento 2	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-3	El Arte de pensar y no aplazarse en el intento 3	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-4	El Arte de pensar y no aplazarse en el intento 4	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-5	El Arte de pensar y no aplazarse en el intento 5	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
el_arte_de_pensar_y_no_aplazarse_en_el_intento-6	El Arte de pensar y no aplazarse en el intento 6	Pablo Guillermo W.	SECUNDARIA	PSICOLOGIA	OBRA_LITERARIA	ESPANOL								
